,interaction_histogram,mse,interaction_spread,interaction_similarity,rec_similarity,mean_num_topics,serendipity_metric,diversity_metric,novelty_metric,timesteps,model,state
16,[2. 0. 1. ... 0. 0. 0.],0.014654112668664307,-1.0,0.011044983735207778,0.004196715053495047,16.0,0.3767762460233298,0.8996229527512668,29.923261271419314,16,myopic_prob,train
17,[2. 1. 1. ... 0. 0. 0.],0.014654112668664307,-0.5,0.011624486127401572,0.004200954821926977,17.0,0.17688229056203605,0.9048191351478733,27.00436916163256,17,myopic_prob,train
18,[2. 0. 1. ... 0. 0. 0.],0.014654112668664307,1.0,0.012231230836198342,0.004186921807361582,18.0,0.1769883351007423,0.9043360433604337,29.339826894319824,18,myopic_prob,train
19,[3. 1. 3. ... 0. 0. 0.],0.014654112668664307,-0.5,0.012797838106931084,0.0042328567583361405,19.0,0.17751855779427358,0.9038529515729942,29.597504084848246,19,myopic_prob,train
20,[3. 1. 1. ... 0. 0. 0.],0.014654112668664307,-0.5,0.01339147156789072,0.004172501178930424,20.0,0.15927889713679746,0.9028160716389775,27.874284013678796,20,myopic_prob,train
21,[0. 3. 1. ... 1. 0. 0.],0.014654112668664307,0.5,0.013983820852775726,0.004218177720661147,21.0,0.15397667020148462,0.9008365735831273,28.074576543250213,21,myopic_prob,train
22,[3. 0. 2. ... 0. 0. 0.],0.014654112668664307,-0.5,0.014559528043410671,0.0042010097532333085,22.0,0.1241781548250265,0.9010604453870626,29.666141762199334,22,myopic_prob,train
23,[1. 1. 2. ... 1. 0. 0.],0.014654112668664307,0.5,0.01517990050022057,0.004178600101293362,23.0,0.12598091198303288,0.9029928125368212,29.132170660429857,23,myopic_prob,train
24,[1. 2. 2. ... 0. 0. 0.],0.014654112668664307,-1.0,0.015763199476155978,0.0042185815818147,24.0,0.1278897136797455,0.9046777424295984,29.53274911513263,24,myopic_prob,train
25,[4. 1. 1. ... 0. 0. 0.],0.014654112668664307,0.5,0.016334664390921638,0.004199720801735564,25.0,0.1308589607635207,0.9049251796865797,28.476345264484774,25,myopic_prob,train
26,[0. 1. 4. ... 0. 0. 0.],0.014654112668664307,0.5,0.01690581796554793,0.004223701798508588,26.0,0.11505832449628844,0.9035230352303525,29.5234306865979,26,myopic_prob,train
27,[4. 1. 0. ... 0. 0. 0.],0.014654112668664307,0.0,0.017500735359374783,0.004189593325681926,27.0,0.11283138918345705,0.902863202545069,29.626177481787355,27,myopic_prob,train
28,[5. 0. 1. ... 0. 0. 0.],0.014654112668664307,-0.5,0.01808503150027645,0.004193279912648742,28.0,0.11675503711558854,0.9060209732532108,28.190169925853013,28,myopic_prob,train
