,interaction_histogram,mse,interaction_spread,interaction_similarity,rec_similarity,mean_num_topics,serendipity_metric,diversity_metric,novelty_metric,timesteps,model,state
74,[3. 0. 0. ... 0. 0. 0.],4.296980468423281,-0.5,0.030480553510194842,0.005798684283267085,74.0,0.0,0.9422292918581361,111.02262699707764,74,myopic,run
75,[3. 0. 0. ... 0. 0. 0.],4.343745857882665,0.0,0.030481466508436562,0.0058373180125825,75.0,0.0,0.9420525509602923,111.79243432159411,75,myopic,run
76,[3. 0. 0. ... 0. 0. 0.],4.390412946481078,0.0,0.030481466508436562,0.005867730614277899,76.0,0.0,0.9418875927889714,112.22843986906878,76,myopic,run
77,[3. 0. 0. ... 0. 0. 0.],4.436930068340347,0.0,0.0304823741982528,0.005890807178697463,77.0,0.0,0.941522328266761,112.55573965479893,77,myopic,run
78,[3. 0. 0. ... 0. 0. 0.],4.4836174417520835,0.0,0.0304823741982528,0.005919434126097073,78.0,0.0,0.9417226346176506,112.45676520201492,78,myopic,run
79,[3. 0. 0. ... 0. 0. 0.],4.529806411911812,0.0,0.030484947306705677,0.005936978102185112,79.0,0.0,0.9421114645929068,112.83847741908316,79,myopic,run
80,[3. 0. 0. ... 0. 0. 0.],4.576272631429931,0.0,0.030484947306705677,0.005935364978612016,80.0,0.0,0.9421703782255214,113.11553031221622,80,myopic,run
81,[3. 0. 0. ... 0. 0. 0.],4.6227848563120535,0.0,0.030484947306705677,0.005955233283954003,81.0,0.0,0.9422057264050903,113.17980726448056,81,myopic,run
82,[3. 0. 0. ... 0. 0. 0.],4.668892039098796,0.0,0.030484951559128365,0.005967022625444105,82.0,0.0,0.9426299045599152,113.58623662071874,82,myopic,run
83,[3. 0. 0. ... 0. 0. 0.],4.7131745578003805,0.0,0.030484951559128365,0.006006345510549797,83.0,0.0,0.9431365618004007,114.10969570841542,83,myopic,run
84,[3. 0. 0. ... 0. 0. 0.],4.756388296376658,0.0,0.03048652712508522,0.0060482495867925454,84.0,0.0,0.9433250854247675,114.92528693313987,84,myopic,run
85,[3. 0. 0. ... 0. 0. 0.],4.799891326765886,0.0,0.03048652712508522,0.006074446597567595,85.0,0.0,0.943525391775657,115.52733470850703,85,myopic,run
86,[3. 0. 0. ... 0. 0. 0.],4.8431151682531395,0.0,0.03048652712508522,0.006077385809296231,86.0,0.0,0.9434429126899966,115.33809785098633,86,myopic,run
87,[4. 0. 0. ... 0. 0. 0.],4.885654517008611,0.0,0.03048652712508522,0.006106260334414501,87.0,0.0,0.9434429126899966,115.52494082954806,87,myopic,run
88,[4. 0. 0. ... 0. 0. 0.],4.928368911031335,0.0,0.03048652712508522,0.006135729046057534,88.0,0.0,0.9434075645104277,115.66100262730126,88,myopic,run
89,[4. 0. 0. ... 0. 0. 0.],4.969355702782442,0.0,0.030486854525266713,0.006179290345654509,89.0,0.0,0.9434546954165195,115.7964536649733,89,myopic,run
90,[4. 0. 0. ... 0. 0. 0.],5.009997799533595,0.0,0.030486854525266713,0.00621268006941671,90.0,0.0,0.9433486508778133,116.01071382696101,90,myopic,run
91,[4. 0. 0. ... 0. 0. 0.],5.050965663018972,0.0,0.03048869398091653,0.0062479885204984615,91.0,0.0,0.9433250854247675,116.64023686943172,91,myopic,run
92,[4. 0. 0. ... 0. 0. 0.],5.09292697344112,0.0,0.03048869398091653,0.0062475962645504686,92.0,0.0,0.9431719099799696,116.64784226055825,92,myopic,run
93,[4. 0. 0. ... 0. 0. 0.],5.13429563580378,0.0,0.03048855076552979,0.006260207254594353,93.0,0.0,0.9432190408860611,116.6650254168628,93,myopic,run
94,[4. 0. 0. ... 0. 0. 0.],5.175172858790704,0.0,0.03048855076552979,0.006253794991681244,94.0,0.0,0.9430305172616944,116.62975040760094,94,myopic,run
95,[4. 0. 0. ... 0. 0. 0.],5.215512321383027,0.0,0.030489231702397014,0.006284335250637821,95.0,0.0,0.9431129963473548,117.06560826468402,95,myopic,run
96,[4. 0. 0. ... 0. 0. 0.],5.25490634421744,0.0,0.030489231702397014,0.006302755032905596,96.0,0.0,0.9432072581595382,117.13005427892045,96,myopic,run
97,[4. 0. 0. ... 0. 0. 0.],5.294270548426917,0.0,0.030489231702397014,0.006325456362345326,97.0,0.0,0.9430658654412631,117.27779563000672,97,myopic,run
98,[4. 0. 0. ... 0. 0. 0.],5.333105695929666,0.0,0.03049146257018292,0.0063631158346538225,98.0,0.0,0.9433604336043361,117.50613615417844,98,myopic,run
99,[4. 0. 0. ... 0. 0. 0.],5.37165592387957,0.0,0.03049146257018292,0.006367549216598545,99.0,0.0,0.9432779545186757,117.33746412596514,99,myopic,run
100,[5. 0. 0. ... 0. 0. 0.],5.409286229753615,0.0,0.03049285637471669,0.006385628386083081,100.0,0.0,0.9431365618004007,117.36016083394618,100,myopic,run
101,[5. 0. 0. ... 0. 0. 0.],5.4464698968009415,0.0,0.03049285637471669,0.006417109440370535,101.0,0.0,0.94325438906563,117.06446636717214,101,myopic,run
102,[5. 0. 0. ... 0. 0. 0.],5.482885916502779,0.0,0.030493029476314885,0.0064567953749902224,102.0,0.0,0.9431365618004007,117.27455809768092,102,myopic,run
103,[5. 0. 0. ... 0. 0. 0.],5.519437175458428,0.0,0.03049435588398031,0.006490172719866488,103.0,0.0,0.943230823612584,117.2039841234572,103,myopic,run
104,[5. 0. 0. ... 0. 0. 0.],5.556925051150601,0.0,0.03049435588398031,0.006490883538707154,104.0,0.0,0.9430776481677862,117.15209470680098,104,myopic,run
105,[5. 0. 0. ... 0. 0. 0.],5.594434462978953,0.0,0.030495972404574925,0.006508825379925871,105.0,0.0,0.942948038176034,117.20161828183805,105,myopic,run
106,[5. 0. 0. ... 0. 0. 0.],5.631849183947859,0.0,0.030495972404574925,0.006537164518227552,106.0,0.0,0.9430187345351715,117.29482328498445,106,myopic,run
107,[5. 0. 0. ... 0. 0. 0.],5.668976737099747,0.0,0.030495972404574925,0.006562124220669612,107.0,0.0,0.9430658654412631,117.71276642096042,107,myopic,run
108,[5. 0. 0. ... 0. 0. 0.],5.705012230518835,0.0,0.030495972404574925,0.00660207610791676,108.0,0.0,0.9431247790738778,117.87377824391625,108,myopic,run
109,[5. 0. 0. ... 0. 0. 0.],5.740109779894202,0.0,0.030495972404574925,0.006644168381909698,109.0,0.0,0.9429598209025569,118.14519192231988,109,myopic,run
110,[5. 0. 0. ... 0. 0. 0.],5.774688406885276,0.0,0.030495972404574925,0.006657063892909936,110.0,0.0,0.9429362554495111,118.37336111194543,110,myopic,run
111,[5. 0. 0. ... 0. 0. 0.],5.808588198198317,0.5,0.030497819545013925,0.006679867348158607,111.0,0.0,0.9429598209025569,118.72541352152554,111,myopic,run
112,[5. 0. 0. ... 0. 0. 0.],5.842686295597847,0.0,0.03050000649004546,0.006700191738079171,112.0,0.0,0.9431836927064924,118.89182892842878,112,myopic,run
113,[5. 0. 0. ... 0. 0. 0.],5.875796136679472,0.0,0.030500833390132574,0.006738010008283771,113.0,0.0,0.9430540827147403,119.04838452576544,113,myopic,run
114,[5. 0. 0. ... 0. 0. 0.],5.907580851642513,0.0,0.030503639916194543,0.006801061090101328,114.0,0.0,0.943101213620832,119.35360796312501,114,myopic,run
115,[5. 0. 0. ... 0. 0. 0.],5.938477055938581,0.0,0.030505312784682617,0.006841763060467964,115.0,0.0,0.9429244727229882,119.29616973039985,115,myopic,run
116,[5. 0. 0. ... 0. 0. 0.],5.969762433804831,0.0,0.030505312784682617,0.00688491295552778,116.0,0.0,0.9433015199717215,119.4179495324369,116,myopic,run
117,[5. 0. 0. ... 0. 0. 0.],6.001117405907258,0.0,0.03050624928935189,0.006909531271506234,117.0,0.0,0.9431719099799696,119.28630799971506,117,myopic,run
118,[5. 0. 0. ... 0. 0. 0.],6.032925300180478,0.0,0.03050624928935189,0.006938625521849797,118.0,0.0,0.942948038176034,119.10203340910209,118,myopic,run
119,[5. 0. 0. ... 0. 0. 0.],6.063625577111446,0.0,0.030513295684422067,0.006961457990112385,119.0,0.0,0.9430776481677862,119.83503438246504,119,myopic,run
120,[5. 0. 0. ... 0. 0. 0.],6.093554332591132,0.0,0.030513295684422067,0.006996185407235678,120.0,0.0,0.943525391775657,119.55232990524352,120,myopic,run
121,[5. 0. 0. ... 0. 0. 0.],6.1233403569259695,0.0,0.030515044440543454,0.007002626489742603,121.0,0.0,0.9433839990573819,119.64666618060944,121,myopic,run
122,[5. 0. 0. ... 0. 0. 0.],6.152873463775134,0.0,0.030515044440543454,0.007033085512260248,122.0,0.0,0.9433957817839048,119.64939483157312,122,myopic,run
123,[5. 0. 0. ... 0. 0. 0.],6.182344476298662,0.0,0.030515044440543454,0.007054424390567011,123.0,0.0,0.943089430894309,119.81835697642961,123,myopic,run
124,[5. 0. 0. ... 0. 0. 0.],6.212462404740849,0.0,0.030515044440543454,0.007086734056531582,124.0,0.0,0.9433722163308591,119.80864453320154,124,myopic,run
125,[5. 0. 0. ... 0. 0. 0.],6.241847917676365,0.0,0.030515044440543454,0.007098672911753342,125.0,0.0,0.9432543890656299,119.78373684857786,125,myopic,run
126,[5. 0. 0. ... 0. 0. 0.],6.270461494458399,0.0,0.030515044440543454,0.00715575485609016,126.0,0.0,0.9428419936373277,119.9213846114076,126,myopic,run
127,[5. 0. 0. ... 0. 0. 0.],6.297927051112087,0.0,0.030515089649916005,0.0072139563159235144,127.0,0.0,0.9427241663720987,119.72154388754056,127,myopic,run
128,[5. 0. 0. ... 0. 0. 0.],6.324402545305203,0.0,0.030517062812985284,0.0072655019969470455,128.0,0.0,0.9428184281842819,119.83665671291214,128,myopic,run
129,[5. 0. 0. ... 0. 0. 0.],6.351491126067693,0.0,0.030517062812985284,0.0072853631457455974,129.0,0.0,0.9424767291151174,119.86921658157429,129,myopic,run
130,[5. 0. 0. ... 0. 0. 0.],6.377888352424167,0.0,0.030517573394181475,0.007327896030709701,130.0,0.0,0.9423589018498881,118.95467925413135,130,myopic,run
131,[5. 0. 0. ... 0. 0. 0.],6.404615683640005,0.0,0.030517573394181475,0.007349891376811084,131.0,0.0,0.9420761164133381,118.8444630943864,131,myopic,run
132,[5. 0. 0. ... 0. 0. 0.],6.431774311424737,0.0,0.030517573394181475,0.007390749630612605,132.0,0.0,0.9422764227642276,118.71480679025917,132,myopic,run
133,[5. 0. 0. ... 0. 0. 0.],6.459052922412983,0.0,0.030517573394181475,0.007428640239931876,133.0,0.0,0.9418758100624485,118.77233841077354,133,myopic,run
134,[5. 0. 0. ... 0. 0. 0.],6.485606523992256,0.0,0.030519006101223507,0.0074437548596556396,134.0,0.0,0.9415812418993756,118.78047493171577,134,myopic,run
135,[5. 0. 0. ... 0. 0. 0.],6.511946088645902,0.0,0.030519006101223507,0.007479748211285641,135.0,0.0,0.9415812418993755,118.69126207999383,135,myopic,run
136,[5. 0. 0. ... 0. 0. 0.],6.538055589575031,0.0,0.030519006101223507,0.007491273921189394,136.0,0.0,0.9415341109932839,118.19534697587866,136,myopic,run
137,[5. 0. 0. ... 0. 0. 0.],6.5634519677986125,0.0,0.030519006101223507,0.007530920978370454,137.0,0.0,0.941227760103688,118.47520982942576,137,myopic,run
138,[5. 0. 0. ... 0. 0. 0.],6.588797270154081,0.0,0.030520218458256657,0.007576697324869002,138.0,0.0,0.9414869800871922,118.01223327083771,138,myopic,run
139,[5. 0. 0. ... 0. 0. 0.],6.61365397174761,0.0,0.030523588742042147,0.0076151343459501435,139.0,0.0,0.9416872864380819,117.9691510073119,139,myopic,run
