,interaction_histogram,mse,interaction_spread,interaction_similarity,rec_similarity,serendipity_metric,diversity_metric,novelty_metric,timesteps,state,model,lambda
11,[2. 0. 0. ... 0. 0. 0.],5.531388360188992,0.0,0.007603405008897525,0.004434804162660474,0.5609756097560976,0.9254271238364559,275.0854638119518,11,run,cosine_sim,10
12,[1. 1. 1. ... 0. 0. 0.],7.843974935781527,1.5,0.008170268323248393,0.0045004766669943614,0.5541887592788971,0.9265347001296101,270.9415307462794,12,run,cosine_sim,10
13,[2. 0. 1. ... 1. 0. 0.],6.751703535793143,-0.5,0.00873886040039399,0.004620958816416059,0.5146341463414634,0.9250147284081538,260.7615057811506,13,run,cosine_sim,10
14,[0. 0. 0. ... 0. 0. 1.],7.943391837157912,-0.5,0.009300376928393894,0.004509492170935088,0.5044538706256628,0.9245905502533288,266.1815912754633,14,run,cosine_sim,10
15,[3. 0. 0. ... 0. 0. 0.],6.374396962498187,0.5,0.00989635904939918,0.004636052353349716,0.5010604453870625,0.9276187109697185,257.93324103667027,15,run,cosine_sim,10
16,[2. 1. 1. ... 1. 0. 0.],6.507760271310565,0.0,0.010516325437601488,0.00450233968932723,0.5110286320254507,0.9221397431365619,250.47544555131603,16,run,cosine_sim,10
17,[3. 0. 0. ... 0. 0. 0.],5.842700338754436,-0.5,0.01111104112668546,0.004554503540967022,0.506998939554613,0.9267467892070226,250.28851690498763,17,run,cosine_sim,10
18,[0. 0. 0. ... 0. 0. 0.],5.25385476006505,0.5,0.011711523561045677,0.004565854205686888,0.5103923647932131,0.9252268174855663,239.81724185946575,18,run,cosine_sim,10
19,[1. 0. 2. ... 0. 0. 0.],5.099972055011062,0.5,0.012302863775228613,0.004510815357789236,0.331389183457052,0.9218451749734891,246.5503704822842,19,run,cosine_sim,10
20,[0. 0. 0. ... 1. 0. 0.],4.298403545163142,-1.5,0.012896575937449018,0.0044819338695476305,0.3173913043478261,0.9238718039354308,250.6503168096456,20,run,cosine_sim,10
21,[0. 1. 1. ... 0. 0. 0.],4.3557649593224905,0.0,0.013500993387284483,0.004501241836881084,0.316118769883351,0.9230116648992578,222.92343374436643,21,run,cosine_sim,10
22,[2. 0. 0. ... 0. 0. 0.],3.56676610568165,0.0,0.014093281104129884,0.00444754609810711,0.3134676564156946,0.9238953693884766,239.33579191216484,22,run,cosine_sim,10
23,[1. 1. 2. ... 0. 0. 0.],3.569481143704837,0.0,0.0146972622041843,0.004428661333936491,0.31452810180275714,0.9195004123954283,220.0565550918102,23,run,cosine_sim,10
24,[1. 2. 0. ... 0. 0. 0.],2.9900944907389637,0.0,0.015279720329391448,0.0044443446087327814,0.4899257688229056,0.9229174030870744,225.1102784779829,24,run,cosine_sim,10
